('Quilts', 'main_category_Crafts', 'USD', 'US', 4868, 70, 2012, 4) ('main_category', 'main_category_Crafts')
('Nature', 'main_category_Photography', 'USD', 'US', 4868, 70, 2012, 4) ('main_category', 'main_category_Photography')
('Nature', 'main_category_Photography', 'USD', 'US', 4868, 30, 2012, 4) ('duration', 30)
('Sound', 'main_category_Technology', 'USD', 'US', 4868, 30, 2012, 4) ('main_category', 'main_category_Technology')
('Restaurants', 'main_category_Food', 'USD', 'US', 4868, 30, 2012, 4) ('main_category', 'main_category_Food')
('Restaurants', 'main_category_Food', 'USD', 'US', 4868, 30, 2012, 1) ('month_launched', 1)
('Action', 'main_category_Film & Video', 'USD', 'US', 4868, 30, 2012, 1) ('main_category', 'main_category_Film & Video')
('Science Fiction', 'main_category_Film & Video', 'USD', 'US', 4868, 30, 2012, 1) ('category', 'Science Fiction')
('Science Fiction', 'main_category_Film & Video', 'USD', 'US', 18615, 30, 2012, 1) ('goal_level', 18615)
('Science Fiction', 'main_category_Film & Video', 'USD', 'US', 923, 30, 2012, 1) ('goal_level', 923)
('Science Fiction', 'main_category_Film & Video', 'USD', 'US', 541, 30, 2012, 1) ('goal_level', 541)
('Science Fiction', 'main_category_Film & Video', 'USD', 'US', 541, 30, 2014, 1) ('year_launched', 2014)
('DIY Electronics', 'main_category_Technology', 'USD', 'US', 541, 30, 2014, 1) ('main_category', 'main_category_Technology')
('DIY Electronics', 'main_category_Technology', 'USD', 'US', 541, 90, 2014, 1) ('duration', 90)
('DIY Electronics', 'main_category_Technology', 'USD', 'US', 541, 90, 2014, 5) ('month_launched', 5)
('DIY Electronics', 'main_category_Technology', 'USD', 'US', 11424, 90, 2014, 5) ('goal_level', 11424)
('DIY Electronics', 'main_category_Technology', 'USD', 'US', 11424, 90, 2014, 5) ('main_category', 'main_category_Technology')
('Sound', 'main_category_Technology', 'USD', 'US', 11424, 90, 2014, 5) ('category', 'Sound')
('Sound', 'main_category_Technology', 'USD', 'US', 208, 90, 2014, 5) ('goal_level', 208)
('Sound', 'main_category_Technology', 'USD', 'US', 660697, 90, 2014, 5) ('goal_level', 660697)
('Sound', 'main_category_Technology', 'USD', 'US', 660697, 90, 2014, 5) ('country', 'US')
('Sound', 'main_category_Technology', 'USD', 'US', 660697, 90, 2014, 5) ('currency', 'USD')
('Makerspaces', 'main_category_Technology', 'USD', 'US', 660697, 90, 2014, 5) ('category', 'Makerspaces')
('DIY Electronics', 'main_category_Technology', 'USD', 'US', 660697, 90, 2014, 5) ('category', 'DIY Electronics')
('Hardware', 'main_category_Technology', 'USD', 'US', 660697, 90, 2014, 5) ('category', 'Hardware')
('Hardware', 'main_category_Technology', 'USD', 'US', 660697, 90, 2014, 5) ('duration', 90)
('Pet Fashion', 'main_category_Fashion', 'USD', 'US', 660697, 90, 2014, 5) ('main_category', 'main_category_Fashion')
('Product Design', 'main_category_Design', 'USD', 'US', 660697, 90, 2014, 5) ('main_category', 'main_category_Design')
('Product Design', 'main_category_Design', 'USD', 'US', 660697, 90, 2014, 12) ('month_launched', 12)
('Photobooks', 'main_category_Photography', 'USD', 'US', 660697, 90, 2014, 12) ('main_category', 'main_category_Photography')
('Graphic Design', 'main_category_Design', 'USD', 'US', 660697, 90, 2014, 12) ('main_category', 'main_category_Design')
('Graphic Design', 'main_category_Design', 'USD', 'US', 660697, 90, 2014, 12) ('duration', 90)
('Interactive Design', 'main_category_Design', 'USD', 'US', 660697, 90, 2014, 12) ('category', 'Interactive Design')
('Interactive Design', 'main_category_Design', 'USD', 'US', 4868, 90, 2014, 12) ('goal_level', 4868)
('Interactive Design', 'main_category_Design', 'USD', 'US', 4868, 90, 2009, 12) ('year_launched', 2009)
('Interactive Design', 'main_category_Design', 'USD', 'US', 4868, 40, 2009, 12) ('duration', 40)
('Interactive Design', 'main_category_Design', 'USD', 'US', 4868, 40, 2009, 12) ('year_launched', 2009)
('Interactive Design', 'main_category_Design', 'USD', 'US', 4868, 40, 2010, 12) ('year_launched', 2010)
('Interactive Design', 'main_category_Design', 'USD', 'US', 4868, 90, 2010, 12) ('duration', 90)
('Interactive Design', 'main_category_Design', 'USD', 'US', 7465, 90, 2010, 12) ('goal_level', 7465)
('Graphic Design', 'main_category_Design', 'USD', 'US', 7465, 90, 2010, 12) ('category', 'Graphic Design')
('Graphic Design', 'main_category_Design', 'USD', 'US', 11424, 90, 2010, 12) ('goal_level', 11424)
('Graphic Design', 'main_category_Design', 'USD', 'US', 11424, 40, 2010, 12) ('duration', 40)
('Graphic Design', 'main_category_Design', 'USD', 'US', 11424, 10, 2010, 12) ('duration', 10)
('Graphic Design', 'main_category_Design', 'USD', 'US', 11424, 90, 2010, 12) ('duration', 90)
('Graphic Design', 'main_category_Design', 'USD', 'US', 11424, 90, 2010, 12) ('currency', 'USD')
('Animation', 'main_category_Film & Video', 'USD', 'US', 11424, 90, 2010, 12) ('main_category', 'main_category_Film & Video')
('Journalism', 'main_category_Journalism', 'USD', 'US', 11424, 90, 2010, 12) ('main_category', 'main_category_Journalism')
('Journalism', 'main_category_Journalism', 'USD', 'US', 11424, 90, 2015, 12) ('year_launched', 2015)
('Journalism', 'main_category_Journalism', 'USD', 'US', 11424, 90, 2009, 12) ('year_launched', 2009)
('Journalism', 'main_category_Journalism', 'USD', 'US', 11424, 20, 2009, 12) ('duration', 20)
('Journalism', 'main_category_Journalism', 'USD', 'US', 11424, 60, 2009, 12) ('duration', 60)
('Journalism', 'main_category_Journalism', 'USD', 'US', 11424, 30, 2009, 12) ('duration', 30)
('Games', 'main_category_Games', 'USD', 'US', 11424, 30, 2009, 12) ('main_category', 'main_category_Games')
('Games', 'main_category_Games', 'USD', 'US', 11424, 50, 2009, 12) ('duration', 50)
('Games', 'main_category_Games', 'USD', 'US', 11424, 50, 2009, 12) ('goal_level', 11424)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 11424, 50, 2009, 12) ('category', 'Gaming Hardware')
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 11424, 50, 2009, 10) ('month_launched', 10)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 11424, 50, 2012, 10) ('year_launched', 2012)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 11424, 50, 2012, 10) ('category', 'Gaming Hardware')
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 541, 50, 2012, 10) ('goal_level', 541)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 541, 70, 2012, 10) ('duration', 70)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 541, 70, 2012, 12) ('month_launched', 12)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 2932, 70, 2012, 12) ('goal_level', 2932)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 2932, 70, 2013, 12) ('year_launched', 2013)
('Mobile Games', 'main_category_Games', 'USD', 'US', 2932, 70, 2013, 12) ('category', 'Mobile Games')
('Mobile Games', 'main_category_Games', 'USD', 'US', 1891, 70, 2013, 12) ('goal_level', 1891)
('Mobile Games', 'main_category_Games', 'USD', 'US', 1891, 40, 2013, 12) ('duration', 40)
('Music', 'main_category_Music', 'USD', 'US', 1891, 40, 2013, 12) ('main_category', 'main_category_Music')
('Music', 'main_category_Music', 'USD', 'US', 4868, 40, 2013, 12) ('goal_level', 4868)
('Music', 'main_category_Music', 'USD', 'US', 3651, 40, 2013, 12) ('goal_level', 3651)
('Music', 'main_category_Music', 'USD', 'US', 3651, 30, 2013, 12) ('duration', 30)
('Music', 'main_category_Music', 'USD', 'US', 3651, 30, 2013, 5) ('month_launched', 5)
('Music', 'main_category_Music', 'USD', 'US', 5871, 30, 2013, 5) ('goal_level', 5871)
('Music', 'main_category_Music', 'USD', 'US', 5871, 30, 2013, 4) ('month_launched', 4)
('Music', 'main_category_Music', 'USD', 'US', 5871, 30, 2013, 12) ('month_launched', 12)
('Ready-to-wear', 'main_category_Fashion', 'USD', 'US', 5871, 30, 2013, 12) ('main_category', 'main_category_Fashion')
('Ready-to-wear', 'main_category_Fashion', 'USD', 'US', 5871, 30, 2013, 12) ('duration', 30)
('Ready-to-wear', 'main_category_Fashion', 'USD', 'US', 5871, 80, 2013, 12) ('duration', 80)
('Fashion', 'main_category_Fashion', 'USD', 'US', 5871, 80, 2013, 12) ('category', 'Fashion')
('Couture', 'main_category_Fashion', 'USD', 'US', 5871, 80, 2013, 12) ('category', 'Couture')
('Pet Fashion', 'main_category_Fashion', 'USD', 'US', 5871, 80, 2013, 12) ('category', 'Pet Fashion')
